com.eg.android.AlipayGphone
com.tencent.mm
com.tencent.qqlite
com.zhihu.android
com.webank.wemoney
com.youdao.note
com.daimajia.gold
com.segmentfault.app
com.microsoft.office.onenote
com.qq.qcloud
com.microsoft.todos
com.youdao.dict
com.taobao.taobao
com.jingdong.app.mall
tv.danmaku.bili
com.weico.international
com.kunzisoft.keepass.free
fm.xiami.main
com.youku.phone
com.tencent.qqlive
com.kabouzeid.gramophone
com.wandoujia
com.sdu.didi.psnger
com.quora.android
cmb.pb,招商银行
com.hpbr.bosszhipin,boss直聘
com.job.android,前程无忧
